id_depto,departamento,id_prov
06658,Quilmes,6
74035,General Pedernera,74
22077,Libertad,22
42077,Hucal,42
50007,Capital,50
82021,Castellanos,82
42021,Capital,42
22168,25 de Mayo,22
86126,Ojo de Agua,86
06077,Arrecifes,6
06623,Pergamino,6
06826,Trenque Lauquen,6
18175,Sauce,18
26007,Biedma,26
26014,Cushamen,26
66147,Rosario de Lerma,66
10112,Valle Viejo,10
14091,Punilla,14
06270,Ezeiza,6
90112,Trancas,90
58105,Picunches,58
14035,General Roca,14
42154,Utracán,42
86168,Salavina,86
38077,Santa Catalina,38
46035,Chamical,46
10105,Tinogasta,10
30049,Gualeguay,30
06505,Magdalena,6
14014,Capital,14
42112,Puelén,42
90070,Monteros,90
86077,General Taboada,86
06630,Pila,6
38035,Ledesma,38
70021,Calingasta,70
70098,Santa Lucía,70
14175,Tulumba,14
18091,Lavalle,18
06812,Tordillo,6
06343,General Paz,6
78042,Magallanes,78
06791,Tandil,6
06714,Salto,6
50119,Tunuyán,50
90007,Burruyacú,90
30063,Islas del Ibicuy,30
18105,Mercedes,18
26049,Gastre,26
06084,Benito Juárez,6
66056,General José de San Martín,66
62028,Conesa,62
06568,Morón,6
06483,Lobos,6
06749,San Fernando,6
30088,San Salvador,30
06441,La Plata,6
06147,Carlos Casares,6
06778,San Vicente,6
14119,Río Segundo,14
94014,Ushuaia,94
06196,Coronel Pringles,6
42007,Atreucó,42
30091,Tala,30
22021,Comandante Fernández,22
62007,Adolfo Alsina,62
06770,San Pedro,6
18042,Empedrado,18
06189,Coronel Dorrego,6
06105,Bolívar,6
66133,Rivadavia,66
14021,Colón,14
30098,Uruguay,30
54077,Libertador General San Martín,54
86049,Capital,86
06469,Lincoln,6
22140,San Fernando,22
06581,Necochea,6
90056,Leales,90
02000,Ciudad de Buenos Aires,2
06644,Pinamar,6
46014,Capital,46
10007,Ambato,10
82091,San Cristóbal,82
82105,San Jerónimo,82
86133,Pellegrini,86
06287,General Alvear,6
50042,La Paz,50
94007,Río Grande,94
30015,Concordia,30
38084,Susques,38
58063,Loncopué,58
62063,Pichi Mahuida,62
06413,Junín,6
06134,Cañuelas,6
50084,Rivadavia,50
58014,Añelo,58
34028,Matacos,34
06448,Laprida,6
42140,Toay,42
54042,Eldorado,54
86140,Quebrachos,86
18070,Goya,18
86014,Alberdi,86
62070,Pilcaniyeu,62
06588,9 de Julio,6
22105,9 de Julio,22
14070,Minas,14
18007,Bella Vista,18
18112,Monte Caseros,18
86175,San Martín,86
54098,San Ignacio,54
90021,Chicligasta,90
06035,Avellaneda,6
06490,Lomas de Zamora,6
82119,San Lorenzo,82
06763,San Nicolás,6
18021,Capital,18
18147,San Martín,18
06021,Alberti,6
06399,Guaminí,6
06301,General Belgrano,6
06882,Zárate,6
54028,Capital,54
78021,Güer Aike,78
22014,Bermejo,22
22036,12 de Octubre,22
70126,25 de Mayo,70
74049,Junín,74
10028,Antofagasta de la Sierra,10
06140,Capitán Sarmiento,6
26056,Languiñeo,26
06098,Berisso,6
26091,Sarmiento,26
18098,Mburucuyá,18
22063,General Güemes,22
06784,Suipacha,6
14147,Santa María,14
22098,Mayor Luis J. Fontana,22
86035,Banda,86
46063,General Belgrano,46
06616,Pellegrini,6
90035,Graneros,90
90105,Tafí Viejo,90
06245,Ensenada,6
22007,Almirante Brown,22
06154,Carlos Tejedor,6
54119,25 de Mayo,54
78014,Deseado,78
06679,Rivadavia,6
74042,Gobernador Dupuy,74
90049,La Cocha,90
34035,Patiño,34
50063,Luján de Cuyo,50
06070,Baradero,6
38063,San Pedro,38
22091,Maipú,22
